Land,2013,2014
Iceland,9.3,7.9
Czech Republic,8.6,9.7
Norway,10.9,10.9
Netherlands,10.4,11.6
Denmark,11.9,11.9
Slovakia,12.8,12.6
Finland,11.8,12.8
France,13.7,13.3
Austria,14.4,14.1
Cyprus,15.3,14.4
Slovenia,14.5,14.5
Hungary,14.3,14.6
Sweden,14.8,15.1
Ireland,14.1,15.3
Belgium,15.1,15.5
Malta,15.7,15.9
Luxembourg,15.9,16.4
Germany,16.1,16.7
United Kingdom,15.9,16.8
Poland,17.3,17
EA-18,16.6,17.1
EU-28,16.6,17.2
Lithuania,20.6,19.1
Croatia,19.5,19.4
Italy,19.3,19.4
Portugal,18.7,19.5
Latvia,19.4,21.2
Bulgaria ,21,21.8
Estonia,18.6,21.8
Greece,23.1,22.1
Spain,20.4,22.2
Romania,22.4,25.4
