Land,2013,2014
EU-28,24.5,24.4
EA-18,23.1,23.5
,,
Romania,40.4,40.2
Bulgaria,48,40.1
Greece,35.7,36
Latvia,35.1,32.7
Hungary,33.5,31.1
Croatia,29.9,29.3
Spain,27.3,29.2
Italy,28.5,28.3
Portugal,27.5,27.5
Ireland,29.5,27.4
Cyprus,27.8,27.4
Lithuania,30.8,27.3
Estonia,23.5,26
Poland,25.8,24.7
United Kingdom,24.8,24.1
Malta,24,23.8
Belgium,20.8,21.2
Germany,20.3,20.6
Slovenia,20.4,20.4
Austria,18.8,19.2
Luxembourg,19,19
France,18.1,18.5
Slovakia,19.8,18.4
Denmark,18.3,17.8
Finland,16,17.3
Sweden,16.4,16.9
Netherlands,15.9,16.5
Czech Republic,14.6,14.8
,,
Switzerland,16.3,0
Norway,14.1,13.5
Iceland,13,11.2
,,
FYR of Madeconia ,48.1,43.2
Serbia ,42,43.1
