Jaar,Private Sparen,Publieke Sparen,Netto Investeringen,Saldo op de Lopende Rekening
1970,0.134609723261032,0.0127419596110696,0.1274650710546,0.0284792819745699
1971,0.120763759241795,0.00666756484034963,0.111043686984638,0.0245363636613592
1972,0.128674545395997,-0.00844432664607397,0.088546778200806,0.0395060229921502
1973,0.13136612855757,-0.00668403440119467,0.104395635539181,0.0281115313763748
1974,0.123823825883031,-0.000691949633547214,0.120292638590966,0.0111458124891298
1975,0.111700666069516,-0.0226019140238276,0.0972533892768869,0.000189752362223285
1976,0.129950271013348,-0.025888107558006,0.105998438654992,0.00702471932082974
1977,0.108121891364841,-0.0274874559039418,0.100005477771204,-0.0113737702403646
1978,0.110092890112238,-0.036065779354312,0.0928761640056254,-0.0109373340448212
1979,0.0969279338071375,-0.0443262580264085,0.0881438989768115,-0.0279067745746242
1980,0.117398863469951,-0.0622834322282573,0.103612077916501,-0.0391432311939071
1981,0.121349206682602,-0.100014282653717,0.0595974182003016,-0.0315268576901588
1982,0.106007884347377,-0.0925110345925256,0.05104920826556,-0.0312015962794887
1983,0.109002816013719,-0.0981473304666302,0.0253888279190263,-0.00868438843767119
1984,0.117623297625367,-0.0887346084644331,0.0394177628622448,-0.00477368655787523
1985,0.116096780468516,-0.0851249736914275,0.0330894874133412,0.00375495079499723
1986,0.131673176289941,-0.087161672231836,0.0323604950157206,0.0179827073533354
1987,0.123202160731099,-0.0685515223665541,0.0436787340189218,0.0169493510924461
1988,0.145601350514483,-0.0609236955211175,0.0687492344507103,0.022526822452098
1989,0.167224870267517,-0.0707298402695432,0.0850764258898263,0.0185661176556711
1990,0.162753483633143,-0.0631452026619278,0.0927398669036105,0.0143666018761092
1991,0.157173200841443,-0.0684925203472799,0.0760322761515166,0.019644278362492
1992,0.164671850807538,-0.0731869482563304,0.0722266884073103,0.0261677571251281
1993,0.161136443740115,-0.0620580833614791,0.0629503078347772,0.0427937877308367
1994,0.152631563208056,-0.041214150502349,0.0638129281978335,0.054102575093178
1995,0.143955224515372,-0.037040239906472,0.0617420816404068,0.0451729029684929
1996,0.126746762099523,-0.032936560860674,0.0560098433656383,0.0378003578732106
1997,0.120360032163747,-0.0128269977213658,0.061861222372833,0.0456718120695477
1998,0.105597860203608,-0.000547998717213898,0.0612342722235869,0.0438155892628074
1999,0.105082996896317,0.00407204802109521,0.0610860432550179,0.0480690016623947
2000,0.100295482181998,0.00986321847092812,0.0705660245834979,0.0395926760694286
2001,0.089834244082887,0.00707216718261594,0.0556134127749744,0.0412929984905285
2002,0.092081110980637,0.00403977094876813,0.0360732786529443,0.0600476032764607
2003,0.0978330824221217,-0.00840514229407737,0.033080299253635,0.0563476408744094
2004,0.0968970656568159,-0.0000532287416457657,0.0515401518793428,0.0453036850358273
2005,0.0939431900778475,0.000137087101355846,0.0601693587534127,0.0339109184257906
2006,0.0928059912674289,0.00314086023447471,0.059146439087975,0.0368004124139286
2007,0.0996331725713457,0.00477383326685281,0.0645482829894477,0.0398587228487508
2008,0.0897756604067209,-0.00593533576659034,0.0702685573504819,0.0135717672896486
2009,0.0757024964942195,-0.0443845724438624,0.0226600581281497,0.00865786592220737
2010,0.103209390291166,-0.0317813862210542,0.0344061429661148,0.0370218611039974
2011,0.0747460540750708,-0.0268328434531423,0.0455906430465545,0.00232256757537398
2012,0.0747623032871475,-0.0246957355623908,0.0349416684021501,0.0151248993226066
2013,0.0566475003695318,-0.0216380967746959,0.0243125113125233,0.0106968922823126
2014,0.0566943600795698,-0.0218966665360962,0.0361459791075617,-0.0013482855640881
2015,0.0608905843488059,-0.020799764494184,0.0384605074487487,0.00163031240587322
