Jaar Geobserveerd,Geobserveerd,Jaar Constante,Constante
1846,2423.7848512937,1846,2423.7848512937
1847,2521.07963871281,1847,2461.28464833309
1848,2509.63319313409,1848,2499.36462672696
1849,2561.14219823833,1849,2538.03376280134
1850,2642.6981229867,1850,2577.30117176026
1851,2698.49954518295,1851,2617.17610983441
1852,2752.87016168187,1852,2657.66797646306
1853,2807.24077818078,1853,2698.78631650973
1854,2961.76779349349,1854,2740.5408225121
1855,2963.19859919083,1855,2782.9413369668
1856,3104.84836322747,1856,2825.9978546495
1857,3163.51139681841,1857,2869.7205249709
1858,3164.94220251575,1858,2914.11965436918
1859,3143.48011705565,1859,2959.20570873949
1860,3280.83746400027,1860,3004.98931590095
1861,3305.16116085505,1861,3051.48126810194
1862,3368.116611538,1862,3098.69252456402
1863,3439.656896405,1863,3146.6342140653
1864,3528.36684964007,1864,3195.31763756375
1865,3502.61234708795,1865,3244.75427086108
1866,3581.30666044164,1866,3294.95576730786
1867,3572.7218262576,1867,3345.9339605505
1868,3675.73983646607,1868,3397.70086732066
1869,3810.23557201602,1869,3450.26869026793
1870,3851.72893723887,1870,3503.64982083625
1871,3837.42088026548,1871,3557.85684218483
1872,4040.59528928773,1872,3612.90253215436
1873,4034.87206649838,1873,3668.79986627895
1874,4135.02846531217,1874,3725.56202084485
1875,4093.53510008931,1875,3783.20237599633
1876,4113.56637985207,1876,3841.73451888974
1877,4126.44363112813,1877,3901.17224689629
1878,4209.43036157384,1878,3961.52957085441
1879,4213.72277866586,1879,4022.82071837243
1880,4385.41946234664,1880,4085.06013718236
1881,4392.57349083334,1881,4148.26249854553
1882,4487.00666685777,1882,4212.44270071098
1883,4499.88391813383,1883,4277.61587242727
1884,4487.00666685777,1884,4343.79737650875
1885,4489.86827825245,1885,4411.00281345682
1886,4511.33036371254,1886,4479.24802513744
1887,4650.11851635451,1887,4548.54909851534
1888,4645.82609926249,1888,4618.92236944613
1889,4834.69245131135,1889,4690.38442652702
1890,4904.801930481,1890,4762.95211500712
1891,4857.58534246879,1891,4836.64254075831
1892,4924.83321024376,1892,4911.47307430741
1893,4943.43368430918,1893,4987.46135493085
1894,4962.0341583746,1894,5064.62529481268
1895,5024.98960905755,1895,5142.98308326683
1896,5080.7910312538,1896,5222.55319102478
1897,5130.8692306607,1897,5303.35437458954
1898,5172.36259588355,1898,5385.40568065696
1899,5231.02562947449,1899,5468.72645060551
1900,5338.33605677498,1900,5553.33632505546
1901,5321.1663884069,1901,5639.25524849865
1902,5349.7825023537,1902,5726.50347399983
1903,5396.99909036591,1903,5815.10156797082
1904,5467.10856953556,1904,5905.07041501842
1905,5554.38771707329,1905,5996.43122286749
1906,5604.46591648019,1906,6089.20552735997
1907,5625.92800194029,1907,6183.41519753151
1908,5627.35880763763,1908,6279.08244076638
1909,5681.72942413654,1909,6376.22980803236
1910,5814.79435398915,1910,6474.88019919646
1911,5934.98203256569,1911,6575.05686842295
1912,6017.9687630114,1912,6676.78342965495
1913,6038.00004277416,1913,6780.08386218072
1914,5613.05075066423,1914,6884.98251628614
1915,5520.04838033714,1915,6991.50411899468
1916,5837.68724514658,1916,7099.67377989608
