Jaar,Frankrijk,Verenigde Staten
1950,2.14296754172445,3.84070990287137
1951,1.84262041420847,6.67507995138461
1952,2.11111158567456,6.54913504664151
1953,2.14762114514198,6.5000778552809
1954,2.13906488559958,6.45175013888476
1955,2.57578179980524,6.47582383343284
1956,2.56351355635696,6.38059113
1957,2.48884811296792,8.23497408
1958,2.38886584009167,8.00701632
1959,2.4140790150915,7.95198528
1960,2.49795912553384,7.81766120432432
1961,2.47629232267758,7.73922313204013
1962,2.43723881550371,8.81169494686093
1963,2.49074159631291,8.696509392
1964,2.50200059900844,9.33075692129032
1965,2.50589577378635,9.18264966857143
1966,2.54115589211021,8.92757606666667
1967,2.5876598360204,8.66028337005988
1968,2.61522572883788,9.30930690537931
1969,3.40688374775649,10.0884042135368
1970,3.43825917706648,9.542382336
1971,3.61780390821379,9.14183789226667
1972,3.69751635470325,8.85752235973206
1973,3.97947294551067,8.33883861794595
1974,4.17689468025997,7.51002910013793
1975,4.64425079837957,9.03245019443866
1976,4.95311419291901,9.35371484693146
1977,5.13004924715477,8.78261344538614
1978,5.29123737908256,9.40517400103067
1979,5.36886037183253,9.24336140191735
1980,5.40305885105685,8.70568679743689
1981,5.4499973679418,8.52804493972277
1982,5.98222776764649,8.03315321265078
1983,6.10179774213003,7.78312535161446
1984,6.37859751323326,7.46101333032531
1985,6.4470805411822,7.20445432175465
1986,6.7105226732246,7.07298617719708
1987,6.72870918437822,6.82393736814084
1988,6.7757206137515,6.5528257398208
1989,6.74988517009628,6.25160713726452
1990,6.78896199043306,5.93113454491813
1991,7.02493287272774,6.4561713088282
1992,7.01493240570967,7.00970619746258
1993,7.17218993487481,6.805963872
1994,7.21173334094584,6.63604439611336
1995,7.23980693425756,6.45316128283465
1996,7.38128488797847,6.26808017529637
1997,7.47718855890652,6.8483686313271
1998,7.72292566850522,7.31119186495215
1999,7.8385466474926,7.15320692669388
2000,7.8033358193138,6.92058231119164
2001,7.91785643876221,6.72910374922191
2002,8.09056024177645,6.6243706169383
2003,8.11423765854583,6.47676235862609
2004,8.36623709780474,6.30875740596718
2005,8.69837559728695,6.10201881201843
2006,9.03390121346423,5.91133072414286
2007,9.16640958908394,5.74762601878635
2008,9.1000353972528,6.28744705898571
2009,9.3817685052,7.0649265828011
2010,9.40230288,7.693758
2011,9.3636,7.5429
2012,9.4044,7.395
2013,9.43,7.25
