Jaar,Natuurlijke,Jaar2,Feitelijke
1965,1.771664,1965,1.6
1966,1.771664,1966,1.7
1967,1.771664,1967,2.4
1968,1.967355,1968,2.8
1969,2.134048,1969,2.2
1970,2.323079,1970,1.8
1971,2.538267,1971,1.7
1972,2.810287,1972,2.2
1973,3.095095,1973,2.2
1974,3.447382,1974,2.3
1975,3.969644,1975,4.2
1976,4.561065,1976,5.5
1977,5.270028,1977,6.3
1978,6.098505,1978,6.8
1979,6.969508,1979,7
1980,7.809847,1980,7.4
1981,8.62084,1981,9.4
1982,9.247848,1982,11
1983,9.554295,1983,10.7
1984,9.68985,1984,10.8
1985,9.577157,1985,10.1
1986,9.370009,1986,10
1987,9.081276,1987,9.8
1988,8.734979,1988,8.8
1989,8.385114,1989,7.4
1990,8.104208,1990,6.6
1991,7.931176,1991,6.4
1992,7.905475,1992,7.1
1993,8.029383,1993,8.6
1994,8.200749,1994,9.8
1995,8.323156,1995,9.7
1996,8.424257,1996,9.5
1997,8.443561,1997,9.2
1998,8.408298,1998,9.3
1999,8.259585,1999,8.5
2000,8.028533,2000,6.9
2001,7.883582,2001,6.6
2002,7.819713,2002,7.5
2003,7.781529,2003,8.2
2004,7.763928,2004,8.4
2005,7.771903,2005,8.5
2006,7.760437,2006,8.3
2007,7.692775,2007,7.5
2008,7.631869,2008,7
2009,7.661716,2009,7.9
2010,7.685996,2010,8.3
2011,7.63941,2011,7.2
2012,7.681501,2012,7.6
2013,7.736291,2013,8.4
2014,7.753788,2014,8.5
2015,7.770453,2015,8.3
2016,7.79041,2016,8.1
